t,true_x,true_y,meas_x,meas_y,est_x,est_y,sig_x,sig_y
19.500,-9.476,-3.195,-9.344,-3.368,-9.519,-3.179,0.0505,0.0505
19.550,-9.393,-3.431,,,-9.453,-3.421,0.0520,0.0520
19.600,-9.304,-3.665,,,-9.386,-3.664,0.0538,0.0538
19.650,-9.210,-3.896,,,-9.320,-3.907,0.0560,0.0560
19.700,-9.109,-4.125,-9.246,-3.905,-9.138,-4.069,0.0526,0.0526
19.750,-9.004,-4.352,-8.701,-4.177,-9.006,-4.295,0.0509,0.0509
19.800,-8.892,-4.575,-9.160,-4.795,-8.908,-4.529,0.0495,0.0495
19.850,-8.775,-4.796,,,-8.804,-4.754,0.0502,0.0502
19.900,-8.652,-5.014,-8.679,-5.007,-8.671,-4.970,0.0489,0.0489
19.950,-8.524,-5.229,-8.292,-5.314,-8.523,-5.184,0.0478,0.0478
